period,phase,games,accuracy,brier_score,log_loss,average_reward,total_reward,home_pick_rate
1981,season_replay,1388,0.5381844380403458,0.2480636932298121,0.689270664631264,0.0038765159286813945,5.380604109009775,0.553314121037464
1982,season_replay,2106,0.5256410256410257,0.2501451544735123,0.6935834296985529,-0.00043624913860755126,-0.9187406859075029,0.5716999050332384
1983,season_replay,2106,0.5194681861348528,0.2495667823686077,0.6923068488988517,0.0008403316610936402,1.7697384782632062,0.5688509021842355
1984,season_replay,2104,0.5033269961977186,0.24958598023117737,0.6923130777577005,0.0008341028022448591,1.7549522959231836,0.5703422053231939
1985,season_replay,2101,0.5411708710138029,0.2479235524805046,0.6889592198387636,0.004187960721181641,8.798905475202627,0.6187529747739172
1986,season_replay,2102,0.5142721217887726,0.24972591731930796,0.692618940774869,0.0005282397850764016,1.110360028230596,0.5818268315889629
1987,season_replay,2105,0.5425178147268409,0.2476121310615542,0.688335647431621,0.004811533128324285,10.12827723512262,0.5828978622327791
1988,season_replay,2098,0.5490943755958055,0.24744449356266646,0.6880291907331999,0.005117989826745407,10.737542656511865,0.5891325071496664
1989,season_replay,2103,0.5145030908226343,0.25002024407247087,0.6932249471202756,-7.776656033027685e-05,-0.16354307637457222,0.6219686162624821
1990,season_replay,2105,0.5026128266033254,0.25044239823724285,0.6940470885827057,-0.0008999080227603878,-1.8943063879106163,0.6014251781472684
1991,season_replay,2104,0.5361216730038023,0.24942934203319697,0.6920157889028219,0.0011313916571233523,2.3804480465875333,0.5869771863117871
1992,season_replay,2106,0.5351377018043685,0.24833125592228622,0.689803351262541,0.003343829297404242,7.042104500333333,0.6301044634377968
1993,season_replay,2268,0.5379188712522046,0.24916420911434964,0.6915050940137762,0.0016420865461690003,3.724252286711293,0.642416225749559
1994,season_replay,1599,0.5422138836772983,0.24826781790531346,0.6896440980447414,0.0035030825152040646,5.6014289418112995,0.6066291432145091
1995,season_replay,2016,0.5367063492063492,0.24819539657530607,0.6895249784018672,0.0036222021580781956,7.302359550685642,0.6309523809523809
1996,season_replay,2266,0.5264783759929391,0.24955318092480347,0.6922819346470773,0.0008652459128681208,1.9606472385591618,0.6248896734333628
1997,season_replay,2266,0.5330979699911739,0.2488745602437412,0.6908903115651471,0.0022568689947981596,5.114065142212629,0.646513680494263
1998,season_replay,2430,0.5506172839506173,0.24712559826446684,0.6873797678052318,0.005767412754713581,14.014812993954003,0.6135802469135803
1999,season_replay,2427,0.5368768026370004,0.24860706307584635,0.6903855243822448,0.0027616561777006033,6.702539543279364,0.6238154099711578
2000,season_replay,2428,0.5341845140032949,0.2490608278691461,0.6912822714275354,0.001864909132409862,4.527999373491145,0.6519769357495881
2001,season_replay,2428,0.5436573311367381,0.24776685575324933,0.688661228244538,0.00448595231540725,10.891892221808803,0.6511532125205931
2002,season_replay,2425,0.5637113402061855,0.24726380828714561,0.6876951407812835,0.005452039778661866,13.221196463255026,0.6202061855670103
2003,season_replay,2429,0.5681350349938247,0.246932878174124,0.6870287086097773,0.0061184719501679915,14.861768366958051,0.5994236311239193
2004,season_replay,2428,0.549835255354201,0.24795964917608068,0.6890735469083479,0.004073633651597417,9.890782506078528,0.6598023064250412
2005,season_replay,2430,0.5382716049382716,0.2490655829547446,0.6913503405991365,0.0017968399608088523,4.366321104765511,0.6650205761316872
2006,season_replay,2429,0.5442568958419103,0.2485273946284354,0.6902781410330594,0.002869039526885852,6.968897010805735,0.6504734458624949
2007,season_replay,2431,0.537227478403949,0.24865990044782807,0.6904767020339955,0.0026704785259497378,6.491933296583812,0.6565199506375977
2008,season_replay,2428,0.5514827018121911,0.2487155004340461,0.6905799614658151,0.002567219094130172,6.233207960548057,0.6622734761120264
2009,season_replay,2430,0.5370370370370371,0.24830890650539159,0.6897513603356837,0.003395820224261485,8.251843144955409,0.6419753086419753
2010,season_replay,2430,0.5559670781893004,0.24779469124799036,0.6887273627059751,0.0044198178539700895,10.740157385147317,0.6349794238683127
2011,season_replay,2429,0.5426101276245369,0.24800129837206833,0.6891426140983737,0.004004566461571514,9.727091935157206,0.662412515438452
2012,season_replay,2430,0.5518518518518518,0.248480783267435,0.6901091972504055,0.003037983309539832,7.382299442181791,0.7061728395061728
2013,season_replay,2431,0.5569724393253805,0.24802210804467265,0.6891941733311002,0.003953007228845111,9.609760573322465,0.6663924310983135
2014,season_replay,2430,0.5259259259259259,0.24924618427092163,0.6916386764523086,0.00150850410763665,3.665664981557059,0.7004115226337448
2015,season_replay,2429,0.5430218196788802,0.24846987114832236,0.690080573591999,0.0030666069679462,7.44878832514132,0.6867023466447097
2016,season_replay,2427,0.5451174289245982,0.2479803819881832,0.6890755340836251,0.004071646476320239,9.88188599802922,0.6703749484960857
2017,season_replay,2430,0.5551440329218107,0.24826498124971155,0.6896963128300222,0.003450867729923102,8.385608583713138,0.6502057613168725
2018,season_replay,2431,0.5832990538872892,0.24627049331406925,0.6856730929488921,0.007474087611053154,18.169506982470217,0.6491155902920609
2019,season_replay,2429,0.5854261012762454,0.24648633487294486,0.6861282222665823,0.007018958293362953,17.049049694578613,0.6212433100041169
2020,season_replay,898,0.5590200445434298,0.24904384927334622,0.6913656577565666,0.0017815228033786915,1.599807477434065,0.6481069042316259
2021,season_replay,2429,0.561547962124331,0.24741583708694947,0.6879748182076038,0.005172362352341592,12.563668153837728,0.6434746809386579
2022,season_replay,2430,0.5839506172839506,0.2463798217622173,0.6858962058149408,0.007250974745004485,17.619868630360898,0.6370370370370371
2023,season_replay,2430,0.5423868312757202,0.24731119589845152,0.6877469502542319,0.005400230305713404,13.122559642883571,0.6576131687242799
2024,season_replay,2429,0.5607245780156443,0.24748439021079943,0.6881216099062469,0.005025570653698457,12.207111117833552,0.6578839028406752
2025,season_replay,2430,0.5345679012345679,0.24801094888559622,0.6891889416394156,0.003958238920529718,9.618520576887214,0.6181069958847737
2026-to-date,current_season_daily,2147,0.5309734513274337,0.24866094226859756,0.6904368600481083,0.002710320511836977,5.81905813891399,0.6846762925011645
