date,bets,wins,daily_profit_loss,daily_staked,losses,daily_win_rate_pct,daily_roi_pct,cumulative_bets,cumulative_wins,cumulative_staked,cumulative_profit_loss,cumulative_roi_pct
2026-09-16,2,0,-200.0,200.0,2,0.0,-100.0,2,0,200.0,-200.0,-100.0
2026-09-17,9,8,512.97,900.0,1,88.88888888888889,56.99666666666667,11,8,1100.0,312.97,28.451818181818187
2026-09-18,15,9,-28.060000000000002,1500.0,6,60.0,-1.8706666666666667,26,17,2600.0,284.91,10.958076923076925
2026-09-19,15,12,629.77,1500.0,3,80.0,41.98466666666667,41,29,4100.0,914.6800000000001,22.309268292682926
