games,accuracy,brier,log_loss,roc_auc,season,stage
2431,0.5689016865487454,0.24256610366614276,0.6780984394144892,0.5898448214523344,2018,eight_expert_mean
2429,0.586249485384932,0.2407615811437027,0.6744922653728429,0.6040650439690373,2019,eight_expert_mean
898,0.5913140311804009,0.23986730737002462,0.6725598296039708,0.6052130516695395,2020,eight_expert_mean
2429,0.5759571840263483,0.24240889918354105,0.67801006478517,0.5963630114003715,2021,eight_expert_mean
2430,0.5962962962962963,0.23937306399604322,0.6717701478719051,0.6167346452809008,2022,eight_expert_mean
2430,0.5502057613168724,0.2454731579994142,0.6838851514328219,0.5770793635282813,2023,eight_expert_mean
2427,0.5599505562422744,0.24385953211721956,0.6808235935821296,0.5880206228492352,2024,eight_expert_mean
2430,0.5370370370370371,0.24567764681429438,0.6842770150092642,0.5639749721750037,2025,eight_expert_mean
2430,0.5452674897119342,0.2442506667742013,0.6813774588863516,0.5696150358022913,2025,selected_v3_holdout
